pz,pz_dir,sweep,calc_dir,real_dir,rows,H,sigma,C,Cz,H_box,sigma_eff,n_frames,p_smeared,P_contact,P_contact_err,f_s,f_s_err,P_N,P_N_err,P_b,P_b_err,P_mid_ideal,P_mid_ideal_err,Pi,Pi_err,Pc_Na,nc_Na,nmid_Na,Pc_Cl,nc_Cl,nmid_Cl,Pc_Ip,nc_Ip,nmid_Ip,Pc_Im,nc_Im,nmid_Im,Pc_G,nc_G,nmid_G
17.0,pz_17,H,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_11_sigma_-20_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_11_sigma_-20_C_0.01_Cz_0.1_20260216_125433,20000,11.0,-20.0,0.01,0.1,11.0,-19.386337223,20000,27.209352052071512,16.393415289087663,0.7133127706914703,9.388835492245331,0.04856300931147572,7.0045797968423305,0.7268221242834458,0.43888661209363156,0.004273718456873655,0.4646394056163565,0.006453349229139293,6.565693184748698,0.726889357106297,16.41864007508608,3.990594824735448,0.02800694444444445,0.0,0.0,0.007920751633986927,-0.003486435497354279,-0.0008473875661375686,0.07809722222222223,-0.0217383505010645,-0.005283564814814811,0.07619417211328976,0.0,0.0,0.07700416666666662
17.0,pz_17,H,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_143617,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_143617,20000,3.0,-20.0,0.01,0.1,3.0,-19.386337223,20000,27.209352052071512,29.31189011376087,1.088022382056073,14.984808811802457,0.04810389295444493,14.327081301958419,1.1036360099872218,1.3187780997239205,0.015266655941769585,2.227595569345491,0.009131757130320956,13.008303202234496,1.102097518936543,29.141150013604104,7.082835234788358,0.37442777777777775,0.0,0.0,0.02016339869281046,0.15064972819079916,0.03661582341269839,0.13414861111111115,0.02009037196597364,0.00488301917989418,0.15808823529411767,0.0,0.0,0.14683194444444442
17.0,pz_17,H,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_5_sigma_-20_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_5_sigma_-20_C_0.01_Cz_0.1_20260216_125433,20000,5.0,-20.0,0.01,0.1,5.0,-19.386337223,20000,27.209352052071512,24.245631643538402,1.0973896344500955,14.436306056620236,0.03507797229442332,9.809325586918167,1.1182299302666199,0.7612876798789407,0.007046718192021031,0.9503852775631663,0.00637980545366752,9.048037907039223,1.116246304617245,24.16613070999727,5.873643353174601,0.11199444444444444,0.0,0.0,0.014481209150326798,0.05575745745402908,0.013552000661375657,0.1028138888888889,0.023743476087103862,0.005770916005291003,0.10558278867102396,0.0,0.0,0.10451805555555556
17.0,pz_17,H,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_7_sigma_-20_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_7_sigma_-20_C_0.01_Cz_0.1_20260216_125433,20000,7.0,-20.0,0.01,0.1,7.0,-19.386337223,20000,27.209352052071512,22.389939785016388,0.4807479926804132,12.344925137713362,0.06719538610871789,10.045014647303022,0.5012438071551851,0.5560450419429264,0.0055679648226744744,0.6354481340299782,0.004653373987910577,9.488969605360095,0.49977422949787903,22.296198888343863,5.419151372354497,0.058799999999999984,0.0,0.0,0.010755718954248365,0.07616245896488594,0.018511491402116397,0.08636388888888888,0.017578437707635945,0.00427248677248677,0.08518654684095858,0.0,0.0,0.08489166666666666
17.0,pz_17,H,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_9_sigma_-20_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_9_sigma_-20_C_0.01_Cz_0.1_20260216_125433,20000,9.0,-20.0,0.01,0.1,9.0,-19.386337223,20000,27.209352052071512,22.12046213087429,1.2300592373173662,10.624131018134943,0.07505441577966841,11.496331112739346,1.2689136829774765,0.4789401621325656,0.006269396329235566,0.5223014832745582,0.005029540031571487,11.017390950606785,1.2633200440440726,22.045973160948137,5.358333333333332,0.039083333333333324,0.0,0.0,0.009119008714596949,0.07316582513740387,0.01778315145502645,0.07947361111111109,0.0013231447887519885,0.00032159391534391027,0.07741013071895426,0.0,0.0,0.07874444444444445
17.0,pz_17,sigma,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-10_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-10_C_0.01_Cz_0.1_20260216_125433,20000,3.0,-10.0,0.01,0.1,3.0,-10.253930431999999,20000,7.612151219539987,9.28067700572649,0.3625559691264195,4.68720385982934,0.027274487682958735,4.59347314589715,0.3865680483091817,0.9385158427767639,0.0020812458997871213,1.5181239330399934,0.007510266109465273,3.654957303120385,0.38769434443546763,8.895711600909602,2.16212673611111,0.25095833333333334,0.00708001510999308,0.0017208167989417986,0.015793845315904144,0.2611527264545034,0.06347387566137566,0.09604166666666666,0.1167326632523913,0.02837218915343915,0.10564133986928104,0.0,0.0,0.10223194444444446
17.0,pz_17,sigma,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-15_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-15_C_0.01_Cz_0.1_20260216_125433,20000,3.0,-15.0,0.01,0.1,3.0,-14.459644085749998,20000,15.137072129542098,18.082118792188115,0.3325003280741516,8.771404826425748,0.028269307510755032,9.310713965762368,0.33087065277282257,1.085048882941083,0.011790515525474986,1.8257872656701306,0.006359568773286973,8.225665082821283,0.3343231097262221,17.681935521600337,4.297642195767194,0.30843055555555554,-0.0004149708591972889,-0.00010085978835978847,0.017220860566448802,0.3042416678013169,0.07394675925925924,0.10785277777777777,0.09635657364565887,0.023419725529100523,0.12644744008714598,0.0,0.0,0.1181111111111111
17.0,pz_17,sigma,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_133324,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_133324,20000,3.0,-20.0,0.01,0.1,3.0,-19.386337223,20000,27.209352052071512,29.1035934501465,0.4657857031358923,14.958978084672594,0.049507529600728226,14.144615365473907,0.46713164988860467,1.2677510484221426,0.016956119440893994,2.1807553554578964,0.016947647199655316,12.876864317051764,0.4693699160109581,28.806248121828975,7.001436425264548,0.3717875,0.0,0.0,0.019325980392156862,0.2602411511244634,0.06325231481481479,0.12726249999999997,0.03710417719306246,0.0090182705026455,0.14855528322440092,0.0,0.0,0.13892500000000002
17.0,pz_17,sigma,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-5_C_0.01_Cz_0.1_20260216_125433,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-5_C_0.01_Cz_0.1_20260216_125433,20000,3.0,-5.0,0.01,0.1,3.0,-4.84658430575,20000,1.7005845032544695,2.9820146081965664,0.09263922999076629,1.1711065512916452,0.0036937655105520237,1.8109080569049207,0.09336454458238243,0.7070957717985944,0.0028906101883230755,1.0753160442848153,0.0062737458240434245,1.1038122851063263,0.09265067477683901,2.547995906282025,0.6192972883597881,0.16492500000000002,0.008460983706993894,0.0020564649470899464,0.01145152505446623,0.25495367407018316,0.06196717923280422,0.08228472222222223,0.17060404413736385,0.04146577380952379,0.08699210239651417,0.0,0.0,0.08498194444444443
17.0,pz_17,sigma,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_0_C_0.01_Cz_0.1_20260216_163305,/home/fluffymelon/AntiDLVO/results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_0_C_0.01_Cz_0.1_20260216_163305,20000,3.0,0.0,0.01,0.1,3.0,0.0,20000,0.0,0.45279273189273306,0.01244189087660653,0.0,0.0,0.45279273189273306,0.01244189087660653,0.3989535353141032,0.001479760070552282,0.39896614144967957,0.0014767901910285215,0.05383919657862986,0.012554005368820025,0.03230650180865447,0.007852182539682537,0.007251388888888886,0.03504803059974475,0.008518518518518517,0.007482298474945531,0.17292379926828644,0.04202959656084655,0.08283333333333334,0.21251440021604737,0.05165219907407405,0.08197848583877998,0.0,0.0,0.08223611111111111
